,License #,is_ADU_builder,ADU_performance_score,Bldg-New_count,Bldg-Alter/Repair_count,Bldg-Addition_count,2020_proj_count,2019_proj_count,2018_proj_count,2017_proj_count,2016_proj_count,2015_proj_count,2014_proj_count,2013_proj_count,experience,non_ADU_proj_count,non_ADU_avg_insp,non_ADU_avg_time_per_insp
517,1043456.0,True,12.915072644620734,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,854,1,8.0,23.25
524,639550.0,True,4.631578947368421,2.0,6.0,6.0,0.0,3.0,6.0,2.0,1.0,0.0,1.0,1.0,2296,13,9.846153846153847,37.15446775446775
530,967613.0,True,10.222222222222221,0.0,15.0,4.0,0.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,2067,18,7.055555555555555,19.450110229276895
532,953312.0,True,20.125,0.0,13.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,1.0,2.0,938,12,5.5,13.279828042328042
534,921725.0,True,8.5,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1006,2,9.0,18.625
544,878427.0,True,28.857142857142858,1.0,8.0,8.0,0.0,0.0,6.0,3.0,4.0,1.0,1.0,2.0,1045,16,10.125,35.65711203087847
546,835582.0,True,24.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,2162,8,8.0,13.94702380952381
548,950595.0,True,7.705882352941177,0.0,6.0,7.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,4.0,1995,12,10.833333333333334,26.372706582633057
558,1012240.0,True,16.45332080200501,0.0,33.0,3.0,1.0,4.0,15.0,11.0,5.0,0.0,0.0,0.0,2688,32,5.71875,22.705546016483517
567,902372.0,True,14.366279069767439,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,750,2,12.5,9.496794871794872
568,986513.0,True,13.071428571428571,7.0,14.0,15.0,0.0,0.0,2.0,4.0,6.0,9.0,9.0,6.0,2029,35,9.085714285714285,30.576887319030174
